------------------------------「演算結果」------------------------------
          | 経過時間(ミリ秒)| ペナルティ(プライオリティ順)
 329 | time: 2427 msec | Optimization: 60 11239 2 14 140 64
 330 | time: 2430 msec | Optimization: 60 11239 2 14 136 64
 331 | time: 2434 msec | Optimization: 60 11239 2 14 136 63
 332 | time: 2437 msec | Optimization: 60 11239 1 14 138 63
 333 | time: 2442 msec | Optimization: 60 11239 1 14 136 64
 334 | time: 2445 msec | Optimization: 60 11239 1 14 136 63
 335 | time: 2450 msec | Optimization: 60 11214 2 14 140 62
 336 | time: 2455 msec | Optimization: 60 11210 2 14 138 63
 337 | time: 2469 msec | Optimization: 60 11204 2 14 138 63
 338 | time: 2475 msec | Optimization: 60 11202 2 14 138 63
 339 | time: 2480 msec | Optimization: 60 11201 2 14 140 63
 340 | time: 2556 msec | Optimization: 60 11200 2 14 143 63
 341 | time: 2560 msec | Optimization: 60 11200 2 14 142 63
 342 | time: 2565 msec | Optimization: 60 11197 2 14 149 63
 343 | time: 2570 msec | Optimization: 60 11197 2 14 148 63
 344 | time: 2573 msec | Optimization: 60 11197 2 14 146 63
 345 | time: 2583 msec | Optimization: 60 11197 1 14 152 63
 346 | time: 2587 msec | Optimization: 60 11197 1 14 152 62
 347 | time: 2592 msec | Optimization: 60 11188 2 14 146 63
 348 | time: 2598 msec | Optimization: 60 11187 2 14 150 63
 349 | time: 2604 msec | Optimization: 60 11182 2 14 154 63
 350 | time: 2609 msec | Optimization: 60 11181 2 14 150 63
 351 | time: 2615 msec | Optimization: 60 11181 2 14 150 62
 352 | time: 2629 msec | Optimization: 60 11179 2 14 154 62
 353 | time: 2634 msec | Optimization: 60 11179 2 14 152 62
 354 | time: 2638 msec | Optimization: 60 11179 2 14 150 62
 355 | time: 2672 msec | Optimization: 60 11175 2 14 155 63
 356 | time: 2677 msec | Optimization: 60 11175 2 14 154 63
 357 | time: 2680 msec | Optimization: 60 11175 2 14 152 63
 358 | time: 2689 msec | Optimization: 60 11175 2 14 150 63
 359 | time: 2712 msec | Optimization: 60 11174 2 14 152 63
 360 | time: 2725 msec | Optimization: 60 11174 2 14 150 64
 361 | time: 2731 msec | Optimization: 60 11174 2 14 150 63
 362 | time: 2819 msec | Optimization: 60 11162 2 14 156 63
 363 | time: 2825 msec | Optimization: 60 11162 2 14 154 64
 364 | time: 2829 msec | Optimization: 60 11162 2 14 154 63
 365 | time: 2834 msec | Optimization: 60 11159 2 14 160 63
 366 | time: 2839 msec | Optimization: 60 11159 2 14 158 63
 367 | time: 2842 msec | Optimization: 60 11159 2 14 156 63
 368 | time: 2863 msec | Optimization: 60 11158 2 14 156 64
 369 | time: 2869 msec | Optimization: 60 11158 2 14 156 63
 370 | time: 2884 msec | Optimization: 60 11157 2 14 156 63
 371 | time: 2906 msec | Optimization: 60 11157 2 14 154 64
 372 | time: 2911 msec | Optimization: 60 11157 2 14 154 63
 373 | time: 2973 msec | Optimization: 60 11117 2 14 158 63
 374 | time: 2980 msec | Optimization: 60 11116 2 14 158 63
 375 | time: 2986 msec | Optimization: 60 11085 2 14 160 63
 376 | time: 2991 msec | Optimization: 60 11085 2 14 159 63
 377 | time: 2994 msec | Optimization: 60 11085 2 14 158 63
 378 | time: 2999 msec | Optimization: 60 11084 2 14 158 63
 379 | time: 3015 msec | Optimization: 60 11082 2 14 158 63
 380 | time: 3026 msec | Optimization: 60 11082 2 14 156 63
